Created as New Dataset,ABS black tube
cm-1,%T
4000.00,97.40
3999.00,97.40
3998.00,97.40
3997.00,97.40
3996.00,97.40
3995.00,97.41
3994.00,97.41
3993.00,97.41
3992.00,97.41
3991.00,97.41
3990.00,97.42
3989.00,97.42
3988.00,97.42
3987.00,97.42
3986.00,97.41
3985.00,97.41
3984.00,97.41
3983.00,97.41
3982.00,97.41
3981.00,97.41
3980.00,97.41
3979.00,97.41
3978.00,97.41
3977.00,97.41
3976.00,97.41
3975.00,97.41
3974.00,97.42
3973.00,97.42
3972.00,97.42
3971.00,97.42
3970.00,97.42
3969.00,97.43
3968.00,97.43
3967.00,97.43
3966.00,97.42
3965.00,97.42
3964.00,97.41
3963.00,97.41
3962.00,97.41
3961.00,97.42
3960.00,97.42
3959.00,97.42
3958.00,97.42
3957.00,97.41
3956.00,97.41
3955.00,97.41
3954.00,97.42
3953.00,97.42
3952.00,97.42
3951.00,97.42
3950.00,97.42
3949.00,97.42
3948.00,97.42
3947.00,97.42
3946.00,97.42
3945.00,97.42
3944.00,97.41
3943.00,97.41
3942.00,97.41
3941.00,97.41
3940.00,97.41
3939.00,97.41
3938.00,97.41
3937.00,97.41
3936.00,97.41
3935.00,97.41
3934.00,97.41
3933.00,97.41
3932.00,97.41
3931.00,97.41
3930.00,97.41
3929.00,97.41
3928.00,97.41
3927.00,97.41
3926.00,97.41
3925.00,97.41
3924.00,97.40
3923.00,97.40
3922.00,97.40
3921.00,97.40
3920.00,97.40
3919.00,97.40
3918.00,97.41
3917.00,97.40
3916.00,97.40
3915.00,97.40
3914.00,97.40
3913.00,97.40
3912.00,97.40
3911.00,97.41
3910.00,97.41
3909.00,97.41
3908.00,97.42
3907.00,97.42
3906.00,97.41
3905.00,97.41
3904.00,97.41
3903.00,97.41
3902.00,97.41
3901.00,97.41
3900.00,97.41
3899.00,97.41
3898.00,97.41
3897.00,97.41
3896.00,97.41
3895.00,97.41
3894.00,97.40
3893.00,97.40
3892.00,97.40
3891.00,97.40
3890.00,97.41
3889.00,97.41
3888.00,97.41
3887.00,97.41
3886.00,97.41
3885.00,97.41
3884.00,97.41
3883.00,97.41
3882.00,97.42
3881.00,97.42
3880.00,97.42
3879.00,97.42
3878.00,97.41
3877.00,97.41
3876.00,97.40
3875.00,97.40
3874.00,97.40
3873.00,97.41
3872.00,97.41
3871.00,97.41
3870.00,97.41
3869.00,97.41
3868.00,97.42
3867.00,97.42
3866.00,97.42
3865.00,97.42
3864.00,97.42
3863.00,97.42
3862.00,97.42
3861.00,97.41
3860.00,97.41
3859.00,97.41
3858.00,97.41
3857.00,97.42
3856.00,97.43
3855.00,97.43
3854.00,97.42
3853.00,97.41
3852.00,97.41
3851.00,97.41
3850.00,97.41
3849.00,97.40
3848.00,97.40
3847.00,97.40
3846.00,97.40
3845.00,97.39
3844.00,97.39
3843.00,97.39
3842.00,97.39
3841.00,97.39
3840.00,97.39
3839.00,97.39
3838.00,97.39
3837.00,97.39
3836.00,97.39
3835.00,97.39
3834.00,97.39
3833.00,97.38
3832.00,97.38
3831.00,97.38
3830.00,97.38
3829.00,97.38
3828.00,97.37
3827.00,97.37
3826.00,97.37
3825.00,97.37
3824.00,97.38
3823.00,97.38
3822.00,97.38
3821.00,97.38
3820.00,97.38
3819.00,97.38
3818.00,97.38
3817.00,97.37
3816.00,97.37
3815.00,97.37
3814.00,97.37
3813.00,97.37
3812.00,97.36
3811.00,97.36
3810.00,97.35
3809.00,97.35
3808.00,97.35
3807.00,97.35
3806.00,97.36
3805.00,97.36
3804.00,97.36
3803.00,97.36
3802.00,97.35
3801.00,97.35
3800.00,97.36
3799.00,97.36
3798.00,97.36
3797.00,97.36
3796.00,97.36
3795.00,97.36
3794.00,97.36
3793.00,97.36
3792.00,97.35
3791.00,97.35
3790.00,97.35
3789.00,97.35
3788.00,97.35
3787.00,97.35
3786.00,97.35
3785.00,97.35
3784.00,97.35
3783.00,97.35
3782.00,97.35
3781.00,97.35
3780.00,97.35
3779.00,97.34
3778.00,97.34
3777.00,97.34
3776.00,97.34
3775.00,97.34
3774.00,97.34
3773.00,97.34
3772.00,97.33
3771.00,97.33
3770.00,97.33
3769.00,97.33
3768.00,97.33
3767.00,97.33
3766.00,97.33
3765.00,97.34
3764.00,97.34
3763.00,97.34
3762.00,97.34
3761.00,97.34
3760.00,97.34
3759.00,97.33
3758.00,97.33
3757.00,97.33
3756.00,97.33
3755.00,97.33
3754.00,97.34
3753.00,97.34
3752.00,97.34
3751.00,97.34
3750.00,97.34
3749.00,97.34
3748.00,97.34
3747.00,97.33
3746.00,97.32
3745.00,97.32
3744.00,97.33
3743.00,97.33
3742.00,97.34
3741.00,97.34
3740.00,97.33
3739.00,97.33
3738.00,97.33
3737.00,97.33
3736.00,97.33
3735.00,97.33
3734.00,97.33
3733.00,97.33
3732.00,97.33
3731.00,97.33
3730.00,97.33
3729.00,97.33
3728.00,97.32
3727.00,97.31
3726.00,97.31
3725.00,97.31
3724.00,97.31
3723.00,97.31
3722.00,97.31
3721.00,97.31
3720.00,97.31
3719.00,97.31
3718.00,97.31
3717.00,97.32
3716.00,97.32
3715.00,97.32
3714.00,97.33
3713.00,97.33
3712.00,97.33
3711.00,97.32
3710.00,97.32
3709.00,97.32
3708.00,97.31
3707.00,97.31
3706.00,97.31
3705.00,97.30
3704.00,97.30
3703.00,97.30
3702.00,97.31
3701.00,97.31
3700.00,97.31
3699.00,97.31
3698.00,97.31
3697.00,97.31
3696.00,97.31
3695.00,97.31
3694.00,97.31
3693.00,97.31
3692.00,97.31
3691.00,97.30
3690.00,97.30
3689.00,97.29
3688.00,97.29
3687.00,97.29
3686.00,97.29
3685.00,97.28
3684.00,97.27
3683.00,97.26
3682.00,97.25
3681.00,97.25
3680.00,97.25
3679.00,97.25
3678.00,97.25
3677.00,97.24
3676.00,97.23
3675.00,97.22
3674.00,97.22
3673.00,97.22
3672.00,97.21
3671.00,97.19
3670.00,97.18
3669.00,97.18
3668.00,97.17
3667.00,97.17
3666.00,97.16
3665.00,97.14
3664.00,97.13
3663.00,97.13
3662.00,97.12
3661.00,97.12
3660.00,97.11
3659.00,97.11
3658.00,97.10
3657.00,97.09
3656.00,97.09
3655.00,97.08
3654.00,97.08
3653.00,97.08
3652.00,97.07
3651.00,97.07
3650.00,97.06
3649.00,97.06
3648.00,97.06
3647.00,97.07
3646.00,97.07
3645.00,97.08
3644.00,97.08
3643.00,97.08
3642.00,97.09
3641.00,97.10
3640.00,97.10
3639.00,97.11
3638.00,97.11
3637.00,97.11
3636.00,97.12
3635.00,97.12
3634.00,97.13
3633.00,97.14
3632.00,97.14
3631.00,97.14
3630.00,97.14
3629.00,97.15
3628.00,97.15
3627.00,97.16
3626.00,97.16
3625.00,97.16
3624.00,97.16
3623.00,97.16
3622.00,97.16
3621.00,97.17
3620.00,97.17
3619.00,97.17
3618.00,97.18
3617.00,97.18
3616.00,97.19
3615.00,97.19
3614.00,97.20
3613.00,97.20
3612.00,97.21
3611.00,97.22
3610.00,97.22
3609.00,97.23
3608.00,97.23
3607.00,97.23
3606.00,97.24
3605.00,97.24
3604.00,97.24
3603.00,97.24
3602.00,97.24
3601.00,97.25
3600.00,97.25
3599.00,97.25
3598.00,97.25
3597.00,97.25
3596.00,97.25
3595.00,97.25
3594.00,97.26
3593.00,97.26
3592.00,97.27
3591.00,97.27
3590.00,97.28
3589.00,97.28
3588.00,97.28
3587.00,97.28
3586.00,97.27
3585.00,97.26
3584.00,97.26
3583.00,97.26
3582.00,97.26
3581.00,97.26
3580.00,97.26
3579.00,97.26
3578.00,97.26
3577.00,97.26
3576.00,97.26
3575.00,97.25
3574.00,97.25
3573.00,97.25
3572.00,97.25
3571.00,97.26
3570.00,97.25
3569.00,97.25
3568.00,97.24
3567.00,97.23
3566.00,97.22
3565.00,97.22
3564.00,97.22
3563.00,97.22
3562.00,97.22
3561.00,97.22
3560.00,97.21
3559.00,97.21
3558.00,97.21
3557.00,97.21
3556.00,97.21
3555.00,97.20
3554.00,97.20
3553.00,97.19
3552.00,97.18
3551.00,97.18
3550.00,97.18
3549.00,97.18
3548.00,97.17
3547.00,97.17
3546.00,97.17
3545.00,97.17
3544.00,97.17
3543.00,97.17
3542.00,97.17
3541.00,97.17
3540.00,97.17
3539.00,97.17
3538.00,97.16
3537.00,97.16
3536.00,97.16
3535.00,97.17
3534.00,97.17
3533.00,97.17
3532.00,97.18
3531.00,97.17
3530.00,97.17
3529.00,97.17
3528.00,97.17
3527.00,97.18
3526.00,97.18
3525.00,97.18
3524.00,97.18
3523.00,97.19
3522.00,97.19
3521.00,97.19
3520.00,97.19
3519.00,97.19
3518.00,97.19
3517.00,97.19
3516.00,97.19
3515.00,97.20
3514.00,97.20
3513.00,97.21
3512.00,97.21
3511.00,97.21
3510.00,97.22
3509.00,97.22
3508.00,97.22
3507.00,97.22
3506.00,97.22
3505.00,97.22
3504.00,97.23
3503.00,97.23
3502.00,97.23
3501.00,97.24
3500.00,97.24
3499.00,97.24
3498.00,97.24
3497.00,97.24
3496.00,97.24
3495.00,97.24
3494.00,97.24
3493.00,97.24
3492.00,97.24
3491.00,97.24
